judet,nume
ARAD,AVRAM IANCU
ARAD,BACAU DE MIJLOC
ARAD,BANESTI
ARAD,BARATCA
ARAD,BATUTA
ARAD,BELIU
ARAD,BELOTINT
ARAD,BENESTI
ARAD,BERECHIU
ARAD,BERINDIA
ARAD,BIRCHIS
ARAD,BIRSA
ARAD,BIRZAVA
ARAD,BIRZESTI
ARAD,BOCHIA
ARAD,BOCSIG
ARAD,BODESTI
ARAD,BODROGU NOU
ARAD,BODROGU VECHI
ARAD,BONTESTI
ARAD,BOTFEI
ARAD,BRAZII
ARAD,BRUSTURI
ARAD,BRUZNIC
ARAD,BUCEAVA-SOIMUS
ARAD,BUDESTI
ARAD,BUHANI
ARAD,BULCI
ARAD,BUTENI
ARAD,CALUGARENI
ARAD,CAMNA
ARAD,CAPALNAS
ARAD,CAPORAL ALEXA
ARAD,CAPRIOARA
ARAD,CAPRUTA
ARAD,CARAND
ARAD,CERMEI
ARAD,CHELMAC
ARAD,CHERELUS
ARAD,CHESINT
ARAD,CHIER
ARAD,CHISINDIA
ARAD,CHISINEU-CRIS
ARAD,CHISLACA
ARAD,CICIR
ARAD,CINTEI
ARAD,CIUNTESTI
ARAD,CLADOVA
ARAD,COCIUBA
ARAD,COMANESTI
ARAD,CONOP
ARAD,CORBESTI
ARAD,COROI
ARAD,COVASINT
ARAD,CRAIVA
ARAD,CRISTESTI
ARAD,CROCNA
ARAD,CRUCENI
ARAD,CUIAS
ARAD,CUIED
ARAD,CURTICI
ARAD,CUVESDIA
ARAD,CUVIN
ARAD,DEZNA
ARAD,DIECI
ARAD,DONCENI
ARAD,DORGOS
ARAD,DOROBANTI
ARAD,DRAUT
ARAD,DULCELE
ARAD,DUMBRAVA
ARAD,DUMBRAVITA
ARAD,FELNAC
ARAD,FENIS
ARAD,FIRITEAZ
ARAD,FISCUT
ARAD,FRUMUSENI
ARAD,GALSA
ARAD,GHIOROC
ARAD,GRANICERI
ARAD,GROSENI
ARAD,GROSI
ARAD,GROSII NOI
ARAD,GURA VAII
ARAD,GURAHONT
ARAD,GURBA
ARAD,HALALIS
ARAD,HALMAGEL
ARAD,HALMAGIU
ARAD,HASMAS
